Data Bencana,,,,,,,,,,,,,,,
No.,ID Kabupaten,Tanggal Kejadian,Kejadian,Lokasi,Kabupaten,Provinsi,Kronologi & Dokumentasi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak,Dampak
37,3201,4/5/2022,PUTING BELIUNG,Kec. Megamendung Ds. Sukagalih,BOGOR,JAWA BARAT,,●Dikarenakan hujan deras yang disertai angin kencang dan petir mengakibatkan satu unit rumah mengalami kerusakan,0,0,0,1,0,0,0
38,3205,4/3/2022,PUTING BELIUNG,Kec. Garut Kota  Ds. Ciwalen,GARUT,JAWA BARAT,,● dipicu akibat angin kencang yang terjadi di wilayah Kec. Garut Kota dan menyebabkan rumah rusak,0,0,0,132,0,0,1
39,3201,4/3/2022,PUTING BELIUNG,Kec. Cileungsi Ds. Pasar Angin,BOGOR,JAWA BARAT,,● dipicu akibat hujan intensitas tinggi yang disertai angin kencang menyebabkan beberapa asbes atap rumah warga terbawa angin,0,0,0,4,0,0,0
40,3515,4/3/2022,PUTING BELIUNG,Kec. Krian Kel. Krian,SIDOARJO,JAWA TIMUR,,"●dipicu akibat hujan intensitas deras disertai Angin kencang pada hari Minggu, 03 April 2022 sekitar pukul 15.00 WIB di Kec. Krian telah menyebabkan beberapa rumah rusak ringan dan pohon tumbang",0,0,0,8,0,1,0
41,7317,4/3/2022,PUTING BELIUNG,Kec. Larompong Ds. Bilante,LUWU,SULAWESI SELATAN,,●dipicu akibat hujan yang yang disertai angin kencang pada pukul 14.00 WITA yang menyebabkan kerusakan rumah pada Desa Bilante kecamatan Larompong,0,0,0,7,0,0,0
42,1905,4/2/2022,PUTING BELIUNG,Kec. Air Gegas Ds. Nangka,BANGKA SELATAN,KEPULAUAN BANGKA BELITUNG,,● Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang yang terjadi di wilayah Kab. Bangka Selatan,0,0,0,18,0,1,1
43,3201,4/2/2022,PUTING BELIUNG,Kec. Cibinong Ds.  Pabuaran Mekar,BOGOR,JAWA BARAT,,● dipicu akibat hujan intensitas tinggi yang disertai angin kencang menyebabkan beberapa asbes atap rumah warga terbawa angin,0,0,0,1,0,0,0
44,7501,4/2/2022,PUTING BELIUNG,Kec. Wonosari Ds. Bongo II,BOALEMO,GORONTALO,,●dipicu akibat hujan dengan intensitas lebat disertai angin kencang yang terjadi di wilayah Kab. Boalemo,0,0,0,0,0,0,0
45,3301,4/2/2022,PUTING BELIUNG,Kec. Sidareja Ds. Sidareja Ds. Margasari Ds. Kunci,CILACAP,JAWA TENGAH,,●dipicu akibat hujan dengan intensitas lebat disertai angin kencang yang menyebabkan pohon tumbang di beberapa titik dan diantaranya menimpa rumah warga,0,0,0,3,0,0,0
46,1406,4/2/2022,PUTING BELIUNG,Kec. Bangkinang Kota Kel. Langgin,KAMPAR,RIAU,,Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang,0,0,0,0,0,5,0
